name,lat,lon,imgurl,other
Stadion 28 Nopember,-2.513747,112.95373,http://lh6.ggpht.com/U6qX2_ytmGR2oHeMyJRUKgO6jJpaNt1U_Ad_af8rU_Gdd9OJHGzufgExgCF03ccUNAQIaZB7_X-qI2tNTXs,919bf1e49fd6451d9885386cb21f7191.16
Swan Water Fountain,-2.517093,112.951607,http://lh5.ggpht.com/XQybI7hij2w5RHyO35ccC5z2hxiXVp1clAJ6fTJHsF2YlqdxS81i0al83jpJau_GWMld6f-A8QRwR2wzSzmx,1d81c9c6908d4cbb9a5729941d3891bd.16
Tugu Bupati,-2.509973,112.955185,http://lh6.ggpht.com/g7SRRiTWFY0ChBkOqBtRAJEMXlh0UDxw1kdCdsmJAt-IVaVQNSUfCkeWntncYvMuc105TzRwBterg1YLuCQ,c4b197bcdaa749f1b71961f1f8c5b4ca.16
Tugu Pembangunan Stadion,-2.514135,112.954046,http://lh5.ggpht.com/ctqWFhhHQrd0weTpsCO5ZoymRdoXmGwz3J0CqDB9mQx_r-rrTkK6SnIaB3VmXRtHIGSELWjOENyrL0ogabqr,67760068947f4361bb677f9dcf76759f.16
Gerbang Sahati 1,-2.512918,112.952904,http://lh4.ggpht.com/7IZGt_xNr_mpMcxWiDfZUfaBwYAeRHpc1p39wJyyLeaMho_fFLWORTJAv_XdqHtcsYnJbpAenD0HROFOpYd8,252ba329e3c64ad18d92e4f1d1ccac03.16
Gate Wengga Metropolitan,-2.515336,112.95106,http://lh4.ggpht.com/HHfWx29WiVztg9j2RL1sG0cjIgZKUrTyYjERT5_q_zEBIRC1xBr7D2TI_P84GkrKotqMsG0fc6_CGihqPH8,f0947909063c41de9c963c40975d8ddc.16
Bundaran Burung,-2.536419,112.912905,http://lh6.ggpht.com/OKC1AC7s-lYvFgmSSGir1mlpvKB-4vRUoQ0Z_R-t3ckERRE9Q9djzlYGxTHG314NMldpJXwMP45QQI4pKEmq,f887759908f8460cb322b2f06cd18b7f.16
Masjid Raya,-2.53527,112.912607,http://lh3.ggpht.com/2JAVUovkZlEMEE0ze2SFsKFmjjFbCuRbzBrVmYW6EjYJFjWc2e-vgojm6gKUebkszbvYtE1fBVeUw1qd1VPk,cc325a2fe6c0487eb55cf09f4f723687.16
Musholla Nurul Hikmah,-2.545874,112.961391,http://lh4.ggpht.com/wd31cleKStehrFWqzdW-WmuI8kYJolffDgKgR7ty1ulEnvNq8kuLKnb6tUAkBQVHKeo1hkHWL5pkQS-mfEjc,57cf658bb2c84d9da601889bb988a9f1.16
Masjid As Salam,-2.552241,112.963093,http://lh5.ggpht.com/sjDTe8LAJZfsVxKdA_Vn7zotE9V7CZPqt-ePi_5RzthOvflZ04jrjKxcms64f5_xp5W9tI8QFWeW_RQ321tw,28d3f5cf4c4d4a6dbfb6b10781d32127.16
